Size,Bedrooms,Bathrooms,Lat,Long,Amenities_Score,BedtoBath_Ratio,Furnished,Apartment,Duplex,Penthouse,Room,Studio,TotalRooms,Level_category,accessibility_score
165,3,3,30.093319,31.63791604173324,8,1.0,1,1,0,0,0,0,6,0,0
225,3,3,30.02362815,31.304425051498075,5,1.0,1,1,0,0,0,0,6,0,0
280,4,3,30.0521177,31.3422045,7,0.75,0,1,0,0,0,0,7,0,0
120,3,2,30.0521177,31.3422045,6,0.6666666666666666,1,1,0,0,0,0,5,0,0
197,3,3,30.051086,31.53707949499285,8,1.0,0,1,0,0,0,0,6,0,0
78,2,1,30.093319,31.63791604173324,7,0.5,0,1,0,0,0,0,3,1,1
140,3,1,29.9647127,31.2825293,9,0.3333333333333333,1,1,0,0,0,0,4,0,0
170,3,2,30.1005985,31.3329136,9,0.6666666666666666,1,1,0,0,0,0,5,1,1
162,3,3,30.063584,31.4889939,7,1.0,0,1,0,0,0,0,6,0,0
200,3,4,30.05545955,31.21963165579828,7,1.3333333333333333,1,1,0,0,0,0,7,1,1
233,3,3,30.0269928,31.40906325945414,9,1.0,1,1,0,0,0,0,6,1,1
122,2,2,30.0959915,31.642971,14,1.0,1,1,0,0,0,0,4,0,0
115,2,1,30.1005985,31.3329136,8,0.5,1,1,0,0,0,0,3,2,2
60,1,1,30.093319,31.63791604173324,3,1.0,1,0,0,0,0,1,2,0,0
160,3,3,30.0123303,31.51555386421819,11,1.0,1,1,0,0,0,0,6,0,0
116,3,2,30.093319,31.63791604173324,8,0.6666666666666666,1,1,0,0,0,0,5,0,0
131,3,2,30.093319,31.63791604173324,9,0.6666666666666666,0,1,0,0,0,0,5,0,0
143,2,3,30.0641413,31.42413429130798,9,1.5,1,1,0,0,0,0,5,0,0
122,2,2,30.051086,31.53707949499285,6,1.0,1,1,0,0,0,0,4,0,0
220,3,3,30.0665034,31.4872965,7,1.0,1,1,0,0,0,0,6,0,0
95,2,1,30.063584,31.4889939,8,0.5,1,1,0,0,0,0,3,0,0
120,3,1,30.14120045,31.6491646160278,6,0.3333333333333333,1,1,0,0,0,0,4,1,1
78,2,1,30.093319,31.63791604173324,7,0.5,0,1,0,0,0,0,3,1,1
211,3,3,30.063584,31.4889939,10,1.0,1,1,0,0,0,0,6,1,1
156,3,4,30.0123303,31.51555386421819,11,1.3333333333333333,0,1,0,0,0,0,7,0,0
149,2,2,14.550879,121.1362882,9,1.0,1,1,0,0,0,0,4,0,0
130,3,1,30.0887612,31.2898195,5,0.3333333333333333,0,1,0,0,0,0,4,0,0
100,2,1,30.093319,31.63791604173324,9,0.5,1,1,0,0,0,0,3,1,1
163,2,2,29.9647127,31.2825293,12,1.0,1,1,0,0,0,0,4,1,1
155,3,2,30.063584,31.4889939,8,0.6666666666666666,1,1,0,0,0,0,5,0,0
144,2,2,30.0244139,31.53830014902532,7,1.0,1,1,0,0,0,0,4,0,0
65,1,1,29.98060935,31.356154220923457,7,1.0,1,1,0,0,0,0,2,2,2
82,2,1,30.093319,31.63791604173324,6,0.5,1,1,0,0,0,0,3,0,0
300,3,4,30.0521177,31.3422045,8,1.3333333333333333,0,1,0,0,0,0,7,2,2
150,2,2,14.550879,121.1362882,8,1.0,0,1,0,0,0,0,4,0,0
106,2,1,30.093319,31.63791604173324,6,0.5,0,1,0,0,0,0,3,0,0
200,3,3,42.3040807,-74.01013495333201,9,1.0,1,1,0,0,0,0,6,0,0
156,2,3,30.0123303,31.51555386421819,13,1.5,1,1,0,0,0,0,5,0,0
131,3,2,30.063584,31.4889939,8,0.6666666666666666,0,1,0,0,0,0,5,1,1
160,3,2,42.3040807,-74.01013495333201,4,0.6666666666666666,0,1,0,0,0,0,5,0,0
170,3,3,30.063584,31.4889939,10,1.0,0,1,0,0,0,0,6,0,0
116,3,2,30.093319,31.63791604173324,8,0.6666666666666666,0,1,0,0,0,0,5,1,1
140,2,2,30.0014688,31.5198459,11,1.0,0,1,0,0,0,0,4,0,0
140,2,1,30.0371732,31.504690351364992,10,0.5,1,1,0,0,0,0,3,0,0
116,3,2,30.093319,31.63791604173324,8,0.6666666666666666,0,1,0,0,0,0,5,0,0
139,3,2,30.063584,31.4889939,9,0.6666666666666666,0,1,0,0,0,0,5,0,0
150,2,2,10.7592548,122.5895577,9,1.0,1,1,0,0,0,0,4,0,0
90,1,1,10.7592548,122.5895577,7,1.0,1,0,0,0,0,1,2,0,0
220,3,2,30.0521177,31.3422045,9,0.6666666666666666,1,1,0,0,0,0,5,2,2
96,2,2,30.093319,31.63791604173324,8,1.0,1,1,0,0,0,0,4,1,1
300,3,3,42.3040807,-74.01013495333201,11,1.0,1,1,0,0,0,0,6,0,0
131,3,2,30.063584,31.4889939,5,0.6666666666666666,0,1,0,0,0,0,5,1,1
150,2,3,30.0269928,31.40906325945414,7,1.5,1,1,0,0,0,0,5,0,0
180,3,3,42.3040807,-74.01013495333201,5,1.0,0,1,0,0,0,0,6,0,0
150,2,3,42.3040807,-74.01013495333201,7,1.5,1,1,0,0,0,0,5,0,0
152,2,3,30.018619,31.42209475580205,7,1.5,1,1,0,0,0,0,5,0,0
156,2,2,30.051086,31.53707949499285,7,1.0,1,0,0,1,0,0,4,1,1
150,2,3,30.0641413,31.42413429130798,8,1.5,1,0,1,0,0,0,5,0,0
99,2,1,30.063584,31.4889939,8,0.5,0,1,0,0,0,0,3,0,0
193,3,2,29.9865446,31.552985,9,0.6666666666666666,1,1,0,0,0,0,5,1,1
170,3,2,42.3040807,-74.01013495333201,9,0.6666666666666666,1,1,0,0,0,0,5,0,0
84,2,1,30.093319,31.63791604173324,6,0.5,0,1,0,0,0,0,3,1,1
320,4,3,30.0632671,31.4544799,12,0.75,0,0,1,0,0,0,7,0,0
200,3,2,42.3040807,-74.01013495333201,9,0.6666666666666666,0,1,0,0,0,0,5,0,0
175,3,2,30.0521177,31.3422045,7,0.6666666666666666,1,1,0,0,0,0,5,0,0
90,2,1,30.063584,31.4889939,7,0.5,1,1,0,0,0,0,3,0,0
300,4,3,30.0521177,31.3422045,7,0.75,0,1,0,0,0,0,7,1,1
300,4,3,30.0521177,31.3422045,7,0.75,0,1,0,0,0,0,7,0,0
55,1,1,30.063584,31.4889939,7,1.0,1,0,0,0,0,1,2,0,0
250,3,3,30.0521177,31.3422045,7,1.0,0,1,0,0,0,0,6,1,1
165,3,2,30.0521177,31.3422045,8,0.6666666666666666,1,1,0,0,0,0,5,1,1
90,2,1,30.063584,31.4889939,8,0.5,1,1,0,0,0,0,3,1,1
160,3,2,29.98060935,31.356154220923457,5,0.6666666666666666,0,1,0,0,0,0,5,2,2
250,3,2,30.0521177,31.3422045,9,0.6666666666666666,1,1,0,0,0,0,5,1,1
78,2,1,30.093319,31.63791604173324,5,0.5,0,1,0,0,0,0,3,0,0
78,2,1,30.093319,31.63791604173324,6,0.5,0,1,0,0,0,0,3,1,1
133,3,2,30.093319,31.63791604173324,7,0.6666666666666666,0,1,0,0,0,0,5,1,1
230,3,3,30.05545955,31.21963165579828,7,1.0,1,1,0,0,0,0,6,0,0
104,3,2,30.093319,31.63791604173324,7,0.6666666666666666,1,1,0,0,0,0,5,0,0
200,2,2,30.0521177,31.3422045,9,1.0,1,1,0,0,0,0,4,1,1
107,2,1,30.093319,31.63791604173324,9,0.5,1,1,0,0,0,0,3,0,0
99,2,1,30.063584,31.4889939,8,0.5,0,1,0,0,0,0,3,0,0
116,3,2,30.093319,31.63791604173324,9,0.6666666666666666,1,1,0,0,0,0,5,0,0
60,2,1,30.093319,31.63791604173324,2,0.5,1,0,0,0,0,1,3,0,0
96,2,2,30.093319,31.63791604173324,3,1.0,0,1,0,0,0,0,4,0,0
140,3,2,30.093319,31.63791604173324,5,0.6666666666666666,1,1,0,0,0,0,5,0,0
70,2,1,42.3040807,-74.01013495333201,6,0.5,1,1,0,0,0,0,3,1,2
157,3,3,30.063584,31.4889939,9,1.0,0,1,0,0,0,0,6,0,0
145,3,1,30.1005985,31.3329136,2,0.3333333333333333,0,1,0,0,0,0,4,0,0
185,3,2,29.98508045,31.33520770430024,5,0.6666666666666666,0,1,0,0,0,0,5,2,2
96,2,2,30.093319,31.63791604173324,11,1.0,1,1,0,0,0,0,4,1,1
120,3,1,30.0521177,31.3422045,9,0.3333333333333333,1,1,0,0,0,0,4,0,0
131,3,2,30.063584,31.4889939,7,0.6666666666666666,0,1,0,0,0,0,5,0,0
180,3,3,30.051086,31.53707949499285,10,1.0,0,0,0,1,0,0,6,0,0
148,2,2,30.00579785,31.537649320922903,9,1.0,1,1,0,0,0,0,4,0,0
150,2,1,30.0521177,31.3422045,7,0.5,1,1,0,0,0,0,3,1,1
140,3,2,30.023763950000003,31.223186029658244,6,0.6666666666666666,1,1,0,0,0,0,5,0,0
200,3,3,30.051086,31.53707949499285,9,1.0,0,1,0,0,0,0,6,0,0
130,2,2,30.0244139,31.53830014902532,10,1.0,1,1,0,0,0,0,4,0,0
194,3,3,30.0123303,31.51555386421819,9,1.0,1,1,0,0,0,0,6,0,0
280,4,2,30.0632671,31.4544799,7,0.5,0,1,0,0,0,0,6,0,0
230,3,2,42.3040807,-74.01013495333201,4,0.6666666666666666,0,1,0,0,0,0,5,0,0
103,3,2,30.093319,31.63791604173324,6,0.6666666666666666,0,1,0,0,0,0,5,0,0
250,4,3,30.0632671,31.4544799,5,0.75,0,1,0,0,0,0,7,0,0
160,3,1,30.0521177,31.3422045,10,0.3333333333333333,1,1,0,0,0,0,4,0,0
188,3,3,42.3040807,-74.01013495333201,11,1.0,0,1,0,0,0,0,6,0,0
155,3,3,30.063584,31.4889939,8,1.0,0,1,0,0,0,0,6,0,0
78,2,1,30.093319,31.63791604173324,4,0.5,0,1,0,0,0,0,3,1,1
82,2,1,30.093319,31.63791604173324,8,0.5,1,1,0,0,0,0,3,0,0
200,3,2,30.0632671,31.4544799,4,0.6666666666666666,0,1,0,0,0,0,5,0,0
160,3,3,30.05006015,31.62472680450128,6,1.0,1,1,0,0,0,0,6,0,0
150,3,2,30.093319,31.63791604173324,9,0.6666666666666666,0,1,0,0,0,0,5,0,0
75,2,1,30.093319,31.63791604173324,9,0.5,1,1,0,0,0,0,3,0,0
120,2,2,30.063584,31.4889939,1,1.0,1,1,0,0,0,0,4,0,0
90,2,1,30.063584,31.4889939,7,0.5,0,1,0,0,0,0,3,1,1
140,2,2,30.0269928,31.40906325945414,12,1.0,1,1,0,0,0,0,4,0,0
120,2,2,30.1075622,31.40870574519208,7,1.0,1,1,0,0,0,0,4,1,1
89,2,2,30.093319,31.63791604173324,9,1.0,0,1,0,0,0,0,4,0,0
220,3,3,29.957607,31.7190836,8,1.0,0,1,0,0,0,0,6,0,0
250,3,3,30.1005985,31.3329136,9,1.0,1,1,0,0,0,0,6,0,0
220,3,3,42.3040807,-74.01013495333201,4,1.0,0,1,0,0,0,0,6,0,0
112,3,2,30.063584,31.4889939,11,0.6666666666666666,0,1,0,0,0,0,5,0,0
119,3,2,30.063584,31.4889939,5,0.6666666666666666,1,1,0,0,0,0,5,0,0
144,2,2,30.0959915,31.642971,12,1.0,0,1,0,0,0,0,4,0,0
130,2,2,30.0959915,31.642971,12,1.0,1,1,0,0,0,0,4,0,0
119,3,3,30.063584,31.4889939,10,1.0,1,1,0,0,0,0,6,0,0
120,3,1,30.0521177,31.3422045,8,0.3333333333333333,1,1,0,0,0,0,4,2,2
220,3,4,30.0269928,31.40906325945414,11,1.3333333333333333,0,1,0,0,0,0,7,0,0
135,3,2,30.093319,31.63791604173324,8,0.6666666666666666,1,1,0,0,0,0,5,0,0
96,2,1,30.063584,31.4889939,5,0.5,1,1,0,0,0,0,3,0,0
67,2,1,30.093319,31.63791604173324,9,0.5,1,1,0,0,0,0,3,0,0
60,2,1,30.1304761,31.3167491,4,0.5,1,1,0,0,0,0,3,0,0
