HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool,Lat,Long
Apartment,35000,165,3,3,0,1,Madinaty,Cairo,1,1,1,0,1,1,0,1,1,0,0,1,0,0,30.093319,31.63791604173324
Apartment,77000,225,3,3,2,1,Uptown Cairo,Cairo,0,0,0,0,1,0,0,1,0,1,1,0,1,0,30.02362815,31.304425051498075
Apartment,30000,280,4,3,1,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.0521177,31.3422045
Apartment,1500,120,3,2,2,1,Nasr City,Cairo,1,1,1,0,1,1,0,0,1,0,0,0,0,0,30.0521177,31.3422045
Apartment,160000,14,2,3,1,1,Katameya Heights,Cairo,1,0,1,0,1,0,0,1,1,0,1,0,0,0,29.99539705,31.40535759085526
Apartment,22000,197,3,3,2,0,Fifth Square,Cairo,1,1,1,1,1,1,1,1,0,0,0,0,0,0,30.051085999999998,31.537079494992852
Apartment,8300,78,2,1,5,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.093319,31.63791604173324
Apartment,13000,140,3,1,3,1,Zahraa Al Maadi,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,29.9647127,31.2825293
Apartment,300,170,3,2,4,1,Heliopolis,Cairo,1,1,1,1,1,1,1,0,1,0,1,0,0,0,30.1005985,31.3329136
Apartment,17000,162,3,3,1,0,Rehab City,Cairo,1,0,1,1,1,0,1,1,0,0,1,0,0,0,30.063584,31.4889939
Apartment,45000,200,3,4,6,1,Zamalek,Cairo,1,1,1,1,0,1,1,1,0,0,0,0,0,0,30.055459550000002,31.219631655798278
Apartment,3000,233,3,3,4,1,Cairo Festival City,Cairo,1,1,1,1,1,0,0,1,0,1,1,0,1,0,30.026992800000002,31.40906325945414
Apartment,45000,122,2,2,0,1,Lake View,Cairo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.0959915,31.642971
Apartment,20000,115,2,1,8,1,Heliopolis,Cairo,1,0,1,1,1,1,0,1,1,1,0,0,0,0,30.1005985,31.3329136
Studio,1000,60,1,1,0,1,Madinaty,Cairo,0,1,0,0,1,0,0,1,0,0,0,0,0,0,30.093319,31.63791604173324
Apartment,66000,160,3,3,3,1,Eastown,Cairo,1,1,1,1,1,1,0,1,1,1,1,0,0,1,30.012330300000002,31.51555386421819
Duplex,40000,26,3,3,0,0,Mountain View Hyde Park,Cairo,1,0,1,0,1,1,0,0,0,0,1,0,1,0,29.98737805,31.5554474
Apartment,20000,116,3,2,1,1,Madinaty,Cairo,1,1,1,1,1,0,1,1,1,0,0,0,0,0,30.093319,31.63791604173324
Apartment,12000,131,3,2,2,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0,30.093319,31.63791604173324
Apartment,69500,18,3,2,2,1,Eastown,Cairo,0,1,0,0,1,0,0,1,1,0,0,0,0,0,30.012330300000002,31.51555386421819
Apartment,38000,143,2,3,2,1,Porto New Cairo,Cairo,1,1,1,1,1,1,0,1,1,0,0,0,0,1,30.0641413,31.42413429130798
Apartment,35000,122,2,2,0,1,Fifth Square,Cairo,0,0,0,0,1,0,0,1,1,1,1,1,0,0,30.051085999999998,31.537079494992852
