HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool
Apartment,35000,165,3,3,0,1,Madinaty,Cairo,1,1,1,0,1,1,0,1,1,0,0,1,0,0
Apartment,77000,225,3,3,2,1,Uptown Cairo,Cairo,0,0,0,0,1,0,0,1,0,1,1,0,1,0
Apartment,30000,280,4,3,1,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,1500,120,3,2,2,1,Nasr City,Cairo,1,1,1,0,1,1,0,0,1,0,0,0,0,0
Apartment,160000,14,2,3,1,1,Katameya Heights,Cairo,1,0,1,0,1,0,0,1,1,0,1,0,0,0
Apartment,22000,197,3,3,2,0,Fifth Square,Cairo,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,8300,78,2,1,5,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Duplex,80000,700,4,5,0,0,EL Shouyfat,Cairo,1,1,1,0,1,1,1,1,1,1,1,1,0,1
Apartment,13000,140,3,1,3,1,Zahraa Al Maadi,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,300,170,3,2,4,1,Heliopolis,Cairo,1,1,1,1,1,1,1,0,1,0,1,0,0,0
Apartment,17000,162,3,3,1,0,Rehab City,Cairo,1,0,1,1,1,0,1,1,0,0,1,0,0,0
Apartment,30000,187,3,3,3,0,Villette,Cairo,1,0,1,1,1,0,0,1,0,0,1,0,1,1
Apartment,45000,200,3,4,6,1,Zamalek,Cairo,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Apartment,3000,233,3,3,4,1,Cairo Festival City,Cairo,1,1,1,1,1,0,0,1,0,1,1,0,1,0
Apartment,45000,122,2,2,0,1,Lake View,Cairo,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apartment,20000,115,2,1,8,1,Heliopolis,Cairo,1,0,1,1,1,1,0,1,1,1,0,0,0,0
Studio,1000,60,1,1,0,1,Madinaty,Cairo,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Apartment,66000,160,3,3,3,1,Eastown,Cairo,1,1,1,1,1,1,0,1,1,1,1,0,0,1
Duplex,40000,26,3,3,0,0,Mountain View Hyde Park,Cairo,1,0,1,0,1,1,0,0,0,0,1,0,1,0
Apartment,20000,116,3,2,1,1,Madinaty,Cairo,1,1,1,1,1,0,1,1,1,0,0,0,0,0
Apartment,45000,17,3,3,0,0,Villette,Cairo,0,1,0,0,1,0,0,1,1,0,0,1,0,0
Apartment,12000,131,3,2,2,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0
Apartment,69500,18,3,2,2,1,Eastown,Cairo,0,1,0,0,1,0,0,1,1,0,0,0,0,0
Apartment,38000,143,2,3,2,1,Porto New Cairo,Cairo,1,1,1,1,1,1,0,1,1,0,0,0,0,1
Apartment,35000,122,2,2,0,1,Fifth Square,Cairo,0,0,0,0,1,0,0,1,1,1,1,1,0,0
Apartment,27000,220,3,3,2,1,El Banafseg 12,Cairo,1,1,1,0,1,1,1,1,0,0,0,0,0,0
Apartment,30000,95,2,1,3,1,Rehab City,Cairo,1,1,1,1,1,1,0,1,1,0,0,0,0,0
Penthouse,24000,400,5,4,2,0,1st Settlement,Cairo,1,1,1,0,1,1,0,0,0,0,0,0,0,0
